camp_label,target_n,collected_n,remaining_n,progress_pct,missing_camp_rows,missing_farmerid_rows,unmapped_camp_codes
Monga,40,18,22,45.0,0,0,
Lukwesa,40,24,16,60.0,0,0,
Luena,10,9,1,90.0,0,0,
Chibondo,10,10,0,100.0,0,0,
Kabalange,30,30,0,100.0,0,0,
Kanengo,20,20,0,100.0,0,0,
Katuta,40,40,0,100.0,0,0,
Lusambo,10,10,0,100.0,0,0,
Mabumba,20,20,0,100.0,0,0,
